,size,name,block_size,block_count,mode,time_no_cache,time_cache
0,100000,one_hundred_k_input.txt,512,1,r,0.010415077209472656,0.012077808380126953
1,1000000,one_mil_input.txt,512,1,r,0.01177072525024414,0.009444952011108398
2,10000000,ten_mil_input.txt,512,1,r,0.002386808395385742,0.0014109611511230469
3,100000000,one_hundred_mil_input.txt,512,1,r,0.0014541149139404297,0.0014111995697021484
4,1000000000,one_bil_input.txt,512,1,r,0.0014200210571289062,0.0014767646789550781
5,10000000000,ten_bil_input.txt,512,1,r,0.001712799072265625,0.0015549659729003906
6,15000000000,ten_bil_input.txt,512,1,r,0.0016088485717773438,0.0012938976287841797
7,20000000000,twenty_bil_input.txt,512,1,r,0.0011799335479736328,0.0014231204986572266
8,30000000000,thirty_bil_input.txt,512,1,r,0.0011458396911621094,0.0013687610626220703
9,40000000000,fourty_bil_input.txt,512,1,r,0.0016360282897949219,0.0011870861053466797
10,50000000000,fifty_bil_input.txt,512,1,r,0.0015826225280761719,0.0014541149139404297
11,100000,one_hundred_k_input.txt,1024,1,r,0.001378774642944336,0.0013470649719238281
12,1000000,one_mil_input.txt,1024,1,r,0.0011148452758789062,0.0015239715576171875
13,10000000,ten_mil_input.txt,1024,1,r,0.0018739700317382812,0.0013718605041503906
14,100000000,one_hundred_mil_input.txt,1024,1,r,0.001293182373046875,0.0012390613555908203
15,1000000000,one_bil_input.txt,1024,1,r,0.0015647411346435547,0.0014867782592773438
16,10000000000,ten_bil_input.txt,1024,1,r,0.0014889240264892578,0.0015358924865722656
17,15000000000,ten_bil_input.txt,1024,1,r,0.0013740062713623047,0.0016069412231445312
18,20000000000,twenty_bil_input.txt,1024,1,r,0.001199960708618164,0.0014247894287109375
19,30000000000,thirty_bil_input.txt,1024,1,r,0.0013420581817626953,0.0015270709991455078
20,40000000000,fourty_bil_input.txt,1024,1,r,0.001771688461303711,0.001722097396850586
21,50000000000,fifty_bil_input.txt,1024,1,r,0.00125885009765625,0.0012030601501464844
22,100000,one_hundred_k_input.txt,256,1,r,0.0017080307006835938,0.0012211799621582031
23,1000000,one_mil_input.txt,256,1,r,0.0015561580657958984,0.0014369487762451172
24,10000000,ten_mil_input.txt,256,1,r,0.0013828277587890625,0.001615762710571289
25,100000000,one_hundred_mil_input.txt,256,1,r,0.0012161731719970703,0.0014929771423339844
26,1000000000,one_bil_input.txt,256,1,r,0.0013380050659179688,0.0012259483337402344
27,10000000000,ten_bil_input.txt,256,1,r,0.0012080669403076172,0.0011990070343017578
28,15000000000,ten_bil_input.txt,256,1,r,0.001500844955444336,0.0016047954559326172
29,20000000000,twenty_bil_input.txt,256,1,r,0.0012221336364746094,0.001528024673461914
30,30000000000,thirty_bil_input.txt,256,1,r,0.001196146011352539,0.0015540122985839844
31,40000000000,fourty_bil_input.txt,256,1,r,0.0015268325805664062,0.0012927055358886719
32,50000000000,fifty_bil_input.txt,256,1,r,0.0016720294952392578,0.0015900135040283203
33,100000,one_hundred_k_input.txt,2048,1,r,0.0012726783752441406,0.0013508796691894531
34,1000000,one_mil_input.txt,2048,1,r,0.001171112060546875,0.001316070556640625
35,10000000,ten_mil_input.txt,2048,1,r,0.0012180805206298828,0.0015358924865722656
36,100000000,one_hundred_mil_input.txt,2048,1,r,0.0016591548919677734,0.0017740726470947266
37,1000000000,one_bil_input.txt,2048,1,r,0.0012049674987792969,0.0016210079193115234
38,10000000000,ten_bil_input.txt,2048,1,r,0.0015058517456054688,0.0014388561248779297
39,15000000000,ten_bil_input.txt,2048,1,r,0.0011789798736572266,0.0015418529510498047
40,20000000000,twenty_bil_input.txt,2048,1,r,0.0016138553619384766,0.0014810562133789062
41,30000000000,thirty_bil_input.txt,2048,1,r,0.00167083740234375,0.0012369155883789062
42,40000000000,fourty_bil_input.txt,2048,1,r,0.0015518665313720703,0.0014681816101074219
43,50000000000,fifty_bil_input.txt,2048,1,r,0.0012998580932617188,0.0015099048614501953
