,size,name,block_size,block_count,mode,time_no_cache,time_cache
0,100000,one_hundred_k_input.txt,512,1,r,0.0061969757080078125,0.002215862274169922
1,1000000,one_mil_input.txt,512,1,r,0.0031070709228515625,0.0033729076385498047
2,10000000,ten_mil_input.txt,512,1,r,0.008870840072631836,0.008501052856445312
3,100000000,one_hundred_mil_input.txt,512,1,r,0.06454801559448242,0.0682668685913086
4,1000000000,one_bil_input.txt,512,1,r,0.7495849132537842,0.6092519760131836
5,10000000000,ten_bil_input.txt,512,1,r,6.966990947723389,6.640539884567261
6,15000000000,ten_bil_input.txt,512,1,r,10.399334907531738,9.904584169387817
7,20000000000,twenty_bil_input.txt,512,1,r,13.393749952316284,14.006974935531616
8,30000000000,thirty_bil_input.txt,512,1,r,20.611863136291504,20.107919692993164
9,40000000000,fourty_bil_input.txt,512,1,r,26.75611972808838,27.10959482192993
10,50000000000,fifty_bil_input.txt,512,1,r,35.98896908760071,34.151591777801514
11,100000,one_hundred_k_input.txt,1024,1,r,0.018723011016845703,0.008640050888061523
12,1000000,one_mil_input.txt,1024,1,r,0.006963968276977539,0.005597114562988281
13,10000000,ten_mil_input.txt,1024,1,r,0.010540008544921875,0.00900888442993164
14,100000000,one_hundred_mil_input.txt,1024,1,r,0.034584999084472656,0.0348968505859375
15,1000000000,one_bil_input.txt,1024,1,r,0.37023496627807617,0.3227269649505615
16,10000000000,ten_bil_input.txt,1024,1,r,4.520833969116211,4.010660886764526
17,15000000000,ten_bil_input.txt,1024,1,r,6.333750009536743,5.838064908981323
18,20000000000,twenty_bil_input.txt,1024,1,r,8.254090070724487,7.888416051864624
19,30000000000,thirty_bil_input.txt,1024,1,r,11.91071081161499,11.631536960601807
20,40000000000,fourty_bil_input.txt,1024,1,r,16.227307081222534,15.522420167922974
21,50000000000,fifty_bil_input.txt,1024,1,r,20.356416940689087,19.699466943740845
22,100000,one_hundred_k_input.txt,256,1,r,0.02302098274230957,0.005209684371948242
23,1000000,one_mil_input.txt,256,1,r,0.007057905197143555,0.005854368209838867
24,10000000,ten_mil_input.txt,256,1,r,0.020051240921020508,0.01647806167602539
25,100000000,one_hundred_mil_input.txt,256,1,r,0.12098383903503418,0.12480282783508301
26,1000000000,one_bil_input.txt,256,1,r,1.1701231002807617,1.1621308326721191
27,10000000000,ten_bil_input.txt,256,1,r,12.484064102172852,12.21956992149353
28,15000000000,ten_bil_input.txt,256,1,r,18.560733795166016,18.34264898300171
29,20000000000,twenty_bil_input.txt,256,1,r,24.629429817199707,24.380244970321655
30,30000000000,thirty_bil_input.txt,256,1,r,37.489192962646484,37.014124155044556
31,40000000000,fourty_bil_input.txt,256,1,r,48.83349084854126,48.820000886917114
32,50000000000,fifty_bil_input.txt,256,1,r,62.030237913131714,60.866137981414795
33,100000,one_hundred_k_input.txt,2048,1,r,0.010447025299072266,0.0038950443267822266
34,1000000,one_mil_input.txt,2048,1,r,0.004453897476196289,0.0038552284240722656
35,10000000,ten_mil_input.txt,2048,1,r,0.004272937774658203,0.004897594451904297
36,100000000,one_hundred_mil_input.txt,2048,1,r,0.022958993911743164,0.02231597900390625
37,1000000000,one_bil_input.txt,2048,1,r,0.21089720726013184,0.20035982131958008
38,10000000000,ten_bil_input.txt,2048,1,r,3.8016881942749023,3.2228939533233643
39,15000000000,ten_bil_input.txt,2048,1,r,5.2333900928497314,4.821953058242798
40,20000000000,twenty_bil_input.txt,2048,1,r,6.9533302783966064,6.430150032043457
41,30000000000,thirty_bil_input.txt,2048,1,r,9.822517156600952,9.30678677558899
42,40000000000,fourty_bil_input.txt,2048,1,r,12.825391054153442,12.430426120758057
43,50000000000,fifty_bil_input.txt,2048,1,r,15.951267004013062,16.291296005249023
