,size,name,block_size,block_count,mode,time_no_cache,time_cache
0,100000,one_hundred_k_input.txt,1,100000,r,0.03680896759033203,0.024944067001342773
1,1000000,one_mil_input.txt,1,1000000,r,0.14618396759033203,0.14224004745483398
2,10000000,ten_mil_input.txt,1,10000000,r,1.4287149906158447,1.4093711376190186
3,100000000,one_hundred_mil_input.txt,1,100000000,r,14.1487717628479,14.195396900177002
4,1000000000,one_bil_input.txt,1,1000000000,r,140.94432473182678,140.12986421585083
